"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
Niger,958,0,64,0,839,55,0,40,3,6047,251,24120048,Africa
Cyprus,944,0,17,0,790,137,4,782,14,117411,97305,1206632,Asia
Sierra Leone,861,0,46,0,454,361,0,108,6,0,0,7962417,Africa
Burkina Faso,847,0,53,0,720,74,0,41,3,0,0,20849535,Africa
Uruguay,823,0,22,0,685,116,5,237,6,43911,12644,3472758,South America
Georgia,783,0,12,0,605,166,6,196,3,56987,14283,3989764,Asia
Chad,778,0,65,0,491,222,0,47,4,0,0,16381333,Africa
Madagascar,771,0,6,0,168,597,8,28,0.2,10249,371,27624966,Africa
Andorra,764,0,51,0,694,19,4,9889,660,3750,48541,77255,Europe
Nicaragua,759,0,35,0,370,354,0,115,5,0,0,6617838,North America
Jordan,739,0,9,0,522,208,5,72,0.9,187990,18440,10194610,Asia
Diamond Princess,712,0,13,0,651,48,4,0,0,0,0,0,0
San Marino,671,0,42,0,357,272,1,19779,1238,4466,131643,33925,Europe
Malta,618,0,9,0,534,75,1,1400,20,69025,156360,441449,Europe
Congo,611,0,20,0,179,412,0,111,4,0,0,5505568,Africa
Jamaica,586,+5,9,0,311,266,2,198,3,12702,4291,2960117,North America
Channel Islands,560,0,45,0,528,-13,0,3223,259,10255,59029,173729,Europe
Mauritania,530,0,23,0,27,480,0,114,5,7654,1650,4638278,Africa
Tanzania,509,0,21,0,183,305,7,9,0.4,0,0,59573674,Africa
French Guiana,499,0,1,0,200,298,2,1675,3,0,0,297963,South America
Sao Tome and Principe,483,0,12,0,68,403,0,2208,55,175,800,218798,Africa
Reunion,471,0,1,0,411,59,1,526,1,17200,19223,894784,Africa
Palestine,448,0,3,0,372,73,0,88,0.6,44876,8816,5090574,Asia
Togo,442,0,13,0,211,218,0,54,2,20079,2431,8260968,Africa
Taiwan,442,0,7,0,423,12,0,19,0.3,72082,3027,23813331,Asia
Cabo Verde,435,0,4,0,193,238,0,783,7,1307,2353,555476,Africa
Uganda,417,0,0,0,72,345,0,9,0,96825,2123,45602136,Africa
Rwanda,370,0,1,0,256,113,0,29,0.08,66976,5183,12922594,Africa
Isle of Man,336,0,24,0,309,3,0,3953,282,4892,57556,84996,Europe
Mauritius,335,0,10,0,322,3,0,263,8,116937,91961,1271600,Africa
Vietnam,328,0,0,0,279,49,1,3,0,275000,2827,97265308,Asia
Montenegro,324,0,9,0,315,0,0,516,14,10167,16188,628060,Europe
Yemen,323,0,80,0,14,229,0,11,3,120,4,29766367,Asia
Liberia,288,0,27,0,157,104,0,57,5,0,0,5046798,Africa
Eswatini,285,0,2,0,189,94,0,246,2,4994,4308,1159150,Africa
Malawi,284,0,4,0,42,238,1,15,0.2,5049,265,19084049,Africa
Mozambique,254,0,2,0,91,161,0,8,0.06,10878,349,31173041,Africa
Benin,232,0,3,0,143,86,0,19,0.2,30817,2548,12093650,Africa
Myanmar,224,0,6,0,138,80,0,4,0.1,24710,454,54379727,Asia
Martinique,200,0,14,0,98,88,0,533,37,0,0,375288,North America
Faeroe Islands,187,0,0,0,187,0,0,3828,0,9677,198104,48848,Europe
Mongolia,179,0,0,0,44,135,19,55,0,13672,4176,3273672,Asia
Zimbabwe,178,0,4,0,29,145,0,12,0.3,46613,3140,14844179,Africa
Gibraltar,170,0,0,0,149,21,0,5046,0,7632,226523,33692,Europe
Guadeloupe,162,0,14,0,138,10,1,405,35,4137,10339,400119,North America
Libya,156,0,5,0,52,99,0,23,0.7,5591,815,6863245,Africa
Guyana,153,0,12,0,70,71,2,195,15,1618,2058,786243,South America
Brunei,141,0,2,0,138,1,1,323,5,19386,44349,437127,Asia
Cayman Islands,141,0,1,0,68,72,0,2148,15,11139,169657,65656,North America
Bermuda,140,0,9,0,92,39,2,2247,144,7171,115112,62296,North America
Cambodia,125,0,0,0,123,2,1,7,0,20406,1222,16699008,Asia
Syria,122,0,5,0,46,71,0,7,0.3,0,0,17461550,Asia
Trinidad and Tobago,117,0,8,0,108,1,0,84,6,3138,2243,1399123,North America
Comoros,106,0,2,0,26,78,0,122,2,0,0,867928,Africa
Bahamas,102,0,11,0,48,43,1,260,28,2091,5322,392929,North America
Aruba,101,0,3,0,98,0,0,946,28,2134,19995,106729,North America
Monaco,99,0,4,0,90,5,1,2524,102,0,0,39219,Europe
Barbados,92,0,7,0,76,9,1,320,24,5434,18911,287347,North America
Angola,86,0,4,0,18,64,1,3,0.1,10000,305,32768267,Africa
Liechtenstein,82,0,1,0,55,26,0,2151,26,900,23610,38119,Europe
Sint Maarten,77,0,15,0,60,2,1,1798,350,461,10762,42835,North America
Burundi,63,0,1,0,33,29,0,5,0.08,284,24,11857105,Africa
French Polynesia,60,0,0,0,60,0,0,214,0,4040,14389,280775,Australia/Oceania
Macao,45,0,0,0,45,0,0,69,0,0,0,648573,Asia
Bhutan,43,0,0,0,6,37,0,56,0,17038,22102,770888,Asia
Saint Martin,41,0,3,0,33,5,1,1062,78,614,15903,38608,North America
Eritrea,39,0,0,0,39,0,0,11,0,0,0,3542188,Africa
Botswana,35,0,1,0,20,14,0,15,0.4,20186,8599,2347367,Africa
Antigua and Barbuda,26,0,3,0,19,4,1,266,31,183,1870,97861,North America
